NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE40184_HEALTHY_VS_HCV_INFECTED_DONOR_PBMC_DN	GSE40184_HEALTHY_VS_HCV_INFECTED_DONOR_PBMC_DN		200	-0.4215396	-1.355435	0.122262776	0.11639049	0.414	14849	tags=52%, list=35%, signal=79%	
GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_DN	GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_DN		196	-0.41182107	-1.3553506	0.08041958	0.116431355	0.414	12583	tags=42%, list=30%, signal=60%	
GSE17721_CTRL_VS_LPS_8H_BMDC_DN	GSE17721_CTRL_VS_LPS_8H_BMDC_DN		199	-0.42205718	-1.3552433	0.095063984	0.11650456	0.414	14848	tags=53%, list=35%, signal=82%	
GSE21927_C26GM_VS_4T1_TUMOR_MONOCYTE_BALBC_DN	GSE21927_C26GM_VS_4T1_TUMOR_MONOCYTE_BALBC_DN		199	-0.41814843	-1.3552254	0.112522684	0.11647171	0.414	16231	tags=54%, list=38%, signal=88%	
GSE6674_UNSTIM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_DN	GSE6674_UNSTIM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_DN		199	-0.42774037	-1.3551854	0.08785047	0.116464615	0.414	12070	tags=44%, list=28%, signal=61%	
GSE19941_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP	GSE19941_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP		182	-0.42566526	-1.3551427	0.09647495	0.116458766	0.414	14160	tags=49%, list=33%, signal=73%	
GSE11961_FOLLICULAR_BCELL_VS_PLASMA_CELL_DAY7_UP	GSE11961_FOLLICULAR_BCELL_VS_PLASMA_CELL_DAY7_UP		200	-0.42580223	-1.3551046	0.066055045	0.116452575	0.415	10566	tags=39%, list=25%, signal=51%	
GSE43955_10H_VS_30H_ACT_CD4_TCELL_UP	GSE43955_10H_VS_30H_ACT_CD4_TCELL_UP		200	-0.42679134	-1.355103	0.075134166	0.11640695	0.415	13482	tags=47%, list=32%, signal=69%	
GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_CTRL_CD4_TCELL_UP	GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_CTRL_CD4_TCELL_UP		200	-0.42770183	-1.3551022	0.11376147	0.11636135	0.415	13956	tags=48%, list=33%, signal=71%	
GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_DN	GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_DN		190	-0.40258124	-1.3550986	0.08141593	0.116317116	0.415	7881	tags=32%, list=19%, signal=39%	
GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_UP	GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_UP		199	-0.42349643	-1.3550541	0.098330244	0.116307914	0.415	14970	tags=51%, list=35%, signal=78%	
GSE17721_CTRL_VS_GARDIQUIMOD_2H_BMDC_UP	GSE17721_CTRL_VS_GARDIQUIMOD_2H_BMDC_UP		200	-0.4135847	-1.355024	0.07978723	0.116293795	0.415	15527	tags=54%, list=37%, signal=84%	
GSE4590_PRE_BCELL_VS_LARGE_PRE_BCELL_UP	GSE4590_PRE_BCELL_VS_LARGE_PRE_BCELL_UP		160	-0.42592326	-1.3550191	0.08211679	0.11624921	0.415	11448	tags=41%, list=27%, signal=56%	
GSE26928_NAIVE_VS_CXCR5_POS_CD4_TCELL_DN	GSE26928_NAIVE_VS_CXCR5_POS_CD4_TCELL_DN		194	-0.41457313	-1.3549633	0.09191176	0.11625725	0.416	13984	tags=49%, list=33%, signal=74%	
GSE24574_BCL6_LOW_TFH_VS_TCONV_CD4_TCELL_UP	GSE24574_BCL6_LOW_TFH_VS_TCONV_CD4_TCELL_UP		194	-0.42164093	-1.3549452	0.08029197	0.116232984	0.416	14203	tags=48%, list=34%, signal=73%	
GSE3920_IFNA_VS_IFNG_TREATED_ENDOTHELIAL_CELL_UP	GSE3920_IFNA_VS_IFNG_TREATED_ENDOTHELIAL_CELL_UP		170	-0.43188617	-1.3549368	0.09073724	0.11619331	0.416	14915	tags=51%, list=35%, signal=79%	
GSE22196_HEALTHY_VS_OBESE_MOUSE_SKIN_GAMMADELTA_TCELL_UP	GSE22196_HEALTHY_VS_OBESE_MOUSE_SKIN_GAMMADELTA_TCELL_UP		199	-0.413264	-1.3549328	0.08510638	0.11614972	0.416	10772	tags=41%, list=25%, signal=55%	
GSE22886_NEUTROPHIL_VS_DC_UP	GSE22886_NEUTROPHIL_VS_DC_UP		199	-0.40489927	-1.354911	0.074204944	0.1161238	0.416	10946	tags=38%, list=26%, signal=51%	
GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_DN	GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_DN		200	-0.42040274	-1.354822	0.07948244	0.116163135	0.416	16939	tags=58%, list=40%, signal=96%	
GSE5589_WT_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_DN	GSE5589_WT_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_DN		122	-0.42068115	-1.3547083	0.093693696	0.11623154	0.416	11161	tags=42%, list=26%, signal=57%	
GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_UP	GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_UP		200	-0.43599728	-1.3547066	0.10583942	0.1161871	0.416	15595	tags=53%, list=37%, signal=83%	
DCA_UP.V1_DN	DCA_UP.V1_DN		185	-0.42187834	-1.354703	0.09293681	0.116145805	0.416	17619	tags=61%, list=42%, signal=104%	
GSE23505_UNTREATED_VS_4DAY_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP	GSE23505_UNTREATED_VS_4DAY_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP		199	-0.4216584	-1.3546518	0.07734807	0.11615297	0.416	14553	tags=46%, list=34%, signal=70%	
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_6H_UP	GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_6H_UP		200	-0.4199771	-1.3546051	0.07441016	0.116158724	0.417	13292	tags=46%, list=31%, signal=67%	
GSE3565_DUSP1_VS_WT_SPLENOCYTES_DN	GSE3565_DUSP1_VS_WT_SPLENOCYTES_DN		179	-0.4270211	-1.3545332	0.11153119	0.1161834	0.417	16487	tags=54%, list=39%, signal=88%	
GSE41978_WT_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	GSE41978_WT_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN		200	-0.42291492	-1.3544732	0.093406595	0.11619621	0.417	11032	tags=40%, list=26%, signal=54%	
GSE14415_NATURAL_TREG_VS_TCONV_DN	GSE14415_NATURAL_TREG_VS_TCONV_DN		180	-0.42834106	-1.3543954	0.08571429	0.11622404	0.418	12782	tags=42%, list=30%, signal=60%	
GSE25088_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_UP	GSE25088_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_UP		195	-0.42173573	-1.3543916	0.100548446	0.11618061	0.418	9940	tags=37%, list=23%, signal=49%	
GSE16522_MEMORY_VS_NAIVE_CD8_TCELL_DN	GSE16522_MEMORY_VS_NAIVE_CD8_TCELL_DN		200	-0.424785	-1.3543718	0.11754069	0.116153024	0.418	14364	tags=50%, list=34%, signal=75%	
GSE1112_OT1_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP	GSE1112_OT1_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP		183	-0.41364577	-1.3543613	0.086629	0.11611714	0.418	14276	tags=46%, list=34%, signal=70%	
GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_17H_UP	GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_17H_UP		191	-0.42120647	-1.3541998	0.08070175	0.11622913	0.419	13864	tags=47%, list=33%, signal=70%	
GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY15_EFFECTOR_CD8_TCELL_DN	GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY15_EFFECTOR_CD8_TCELL_DN		186	-0.41939726	-1.3541657	0.09660108	0.11621604	0.419	15147	tags=50%, list=36%, signal=77%	
GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_UP	GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_UP		198	-0.42946178	-1.3538896	0.08014572	0.11645654	0.42	14768	tags=49%, list=35%, signal=75%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_DN	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_DN		198	-0.41575092	-1.3538309	0.09660108	0.11646314	0.421	16200	tags=54%, list=38%, signal=87%	
GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_UP	GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_UP		199	-0.4232234	-1.3537391	0.11818182	0.1165157	0.421	11865	tags=42%, list=28%, signal=58%	
GSE1566_WT_VS_EZH2_KO_LN_TCELL_DN	GSE1566_WT_VS_EZH2_KO_LN_TCELL_DN		198	-0.4325418	-1.3537061	0.06834532	0.11649859	0.421	13721	tags=47%, list=32%, signal=69%	
GSE34156_UNTREATED_VS_6H_NOD2_LIGAND_TREATED_MONOCYTE_UP	GSE34156_UNTREATED_VS_6H_NOD2_LIGAND_TREATED_MONOCYTE_UP		168	-0.4258414	-1.3536984	0.09737828	0.11645828	0.421	15659	tags=54%, list=37%, signal=85%	
GSE360_L_MAJOR_VS_T_GONDII_DC_DN	GSE360_L_MAJOR_VS_T_GONDII_DC_DN		198	-0.42852312	-1.3536946	0.09514926	0.11641669	0.421	12838	tags=44%, list=30%, signal=63%	
GSE22033_WT_VS_PPARG_KO_MEF_UP	GSE22033_WT_VS_PPARG_KO_MEF_UP		195	-0.42467082	-1.3536928	0.106617644	0.11637164	0.421	13427	tags=44%, list=32%, signal=64%	
HOXA9_DN.V1_UP	HOXA9_DN.V1_UP		192	-0.41917068	-1.353629	0.085299455	0.11638295	0.421	12710	tags=43%, list=30%, signal=61%	
GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_DN	GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_DN		200	-0.4120891	-1.3536276	0.09642857	0.11633972	0.421	13943	tags=45%, list=33%, signal=66%	
GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP	GSE9988_LOW_LPS_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP		196	-0.42699367	-1.3535548	0.107913665	0.116363704	0.421	9708	tags=41%, list=23%, signal=53%	
GSE17721_POLYIC_VS_PAM3CSK4_4H_BMDC_DN	GSE17721_POLYIC_VS_PAM3CSK4_4H_BMDC_DN		200	-0.42704567	-1.3534751	0.110497236	0.11639997	0.421	8886	tags=34%, list=21%, signal=43%	
GSE29949_CD8_POS_DC_SPLEEN_VS_DC_BRAIN_UP	GSE29949_CD8_POS_DC_SPLEEN_VS_DC_BRAIN_UP		198	-0.42943096	-1.3534617	0.082417585	0.1163712	0.421	13905	tags=49%, list=33%, signal=73%	
GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_DN	GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_DN		200	-0.42487526	-1.3534294	0.08892922	0.11635111	0.421	12854	tags=45%, list=30%, signal=64%	
BCAT.100_UP.V1_UP	BCAT.100_UP.V1_UP		49	-0.46165064	-1.3533319	0.1133829	0.11642786	0.421	15915	tags=55%, list=38%, signal=88%	
GSE43863_DAY6_EFF_VS_DAY150_MEM_TFH_CD4_TCELL_UP	GSE43863_DAY6_EFF_VS_DAY150_MEM_TFH_CD4_TCELL_UP		199	-0.4355452	-1.3532459	0.10720887	0.116466284	0.421	15570	tags=55%, list=37%, signal=87%	
GSE15659_NONSUPPRESSIVE_TCELL_VS_ACTIVATED_TREG_UP	GSE15659_NONSUPPRESSIVE_TCELL_VS_ACTIVATED_TREG_UP		195	-0.41528696	-1.353245	0.10948905	0.11642007	0.421	12921	tags=46%, list=30%, signal=66%	
GSE339_CD4POS_VS_CD4CD8DN_DC_DN	GSE339_CD4POS_VS_CD4CD8DN_DC_DN		200	-0.42485645	-1.3532051	0.1064982	0.11641433	0.421	15774	tags=55%, list=37%, signal=86%	
GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_UP	GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_UP		196	-0.4171182	-1.353111	0.09677419	0.11647446	0.421	11140	tags=39%, list=26%, signal=53%	
GSE23308_CTRL_VS_CORTICOSTERONE_TREATED_MACROPHAGE_UP	GSE23308_CTRL_VS_CORTICOSTERONE_TREATED_MACROPHAGE_UP		200	-0.43273282	-1.3530493	0.10575139	0.116489656	0.421	11843	tags=44%, list=28%, signal=61%	
GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN	GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_DN		195	-0.41168582	-1.3530486	0.08510638	0.1164435	0.421	14699	tags=49%, list=35%, signal=75%	
GSE3994_WT_VS_PAC1_KO_ACTIVATED_MAST_CELL_UP	GSE3994_WT_VS_PAC1_KO_ACTIVATED_MAST_CELL_UP		200	-0.4265162	-1.3530389	0.09222423	0.11640954	0.421	16176	tags=52%, list=38%, signal=83%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		144	-0.45241517	-1.3529923	0.12639405	0.116412595	0.421	15585	tags=57%, list=37%, signal=90%	
GSE3920_IFNA_VS_IFNB_TREATED_ENDOTHELIAL_CELL_DN	GSE3920_IFNA_VS_IFNB_TREATED_ENDOTHELIAL_CELL_DN		166	-0.44138542	-1.3528906	0.09818182	0.11647856	0.421	15605	tags=61%, list=37%, signal=96%	
GSE17721_PAM3CSK4_VS_GADIQUIMOD_4H_BMDC_DN	GSE17721_PAM3CSK4_VS_GADIQUIMOD_4H_BMDC_DN		200	-0.41578394	-1.3528863	0.10314685	0.1164377	0.421	14840	tags=48%, list=35%, signal=74%	
GSE13493_DP_VS_CD8POS_THYMOCYTE_UP	GSE13493_DP_VS_CD8POS_THYMOCYTE_UP		199	-0.42191502	-1.352876	0.10654206	0.116402954	0.421	16148	tags=56%, list=38%, signal=90%	
GSE41978_WT_VS_ID2_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	GSE41978_WT_VS_ID2_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN		200	-0.42836684	-1.3527241	0.11510792	0.11649975	0.421	10499	tags=37%, list=25%, signal=49%	
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MDC_UP	GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MDC_UP		199	-0.4197983	-1.3526734	0.09074074	0.11651354	0.421	14157	tags=46%, list=33%, signal=68%	
GSE22886_CD8_VS_CD4_NAIVE_TCELL_UP	GSE22886_CD8_VS_CD4_NAIVE_TCELL_UP		200	-0.41612074	-1.3526671	0.09982487	0.11647794	0.421	11537	tags=40%, list=27%, signal=54%	
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_DN	GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_DN		200	-0.42796892	-1.3526634	0.10611511	0.11643541	0.421	12923	tags=46%, list=30%, signal=66%	
GSE17721_POLYIC_VS_GARDIQUIMOD_12H_BMDC_DN	GSE17721_POLYIC_VS_GARDIQUIMOD_12H_BMDC_DN		200	-0.4111639	-1.352651	0.08963093	0.11640331	0.421	10269	tags=37%, list=24%, signal=48%	
GSE22611_UNSTIM_VS_2H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_DN	GSE22611_UNSTIM_VS_2H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_DN		186	-0.43076482	-1.3526434	0.09796673	0.11636476	0.421	14629	tags=51%, list=35%, signal=78%	
GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_24H_CD8_T_CELL_DN	GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_24H_CD8_T_CELL_DN		200	-0.42247728	-1.3526198	0.08273381	0.1163414	0.421	13477	tags=48%, list=32%, signal=69%	
GSE26343_UNSTIM_VS_LPS_STIM_MACROPHAGE_UP	GSE26343_UNSTIM_VS_LPS_STIM_MACROPHAGE_UP		200	-0.41692552	-1.3526039	0.07194245	0.11630982	0.421	10927	tags=39%, list=26%, signal=52%	
GSE17721_LPS_VS_CPG_4H_BMDC_UP	GSE17721_LPS_VS_CPG_4H_BMDC_UP		200	-0.43748337	-1.3525953	0.08925319	0.116272196	0.421	11922	tags=44%, list=28%, signal=61%	
GSE1432_1H_VS_6H_IFNG_MICROGLIA_UP	GSE1432_1H_VS_6H_IFNG_MICROGLIA_UP		200	-0.42934325	-1.352536	0.09514926	0.11629086	0.421	16409	tags=54%, list=39%, signal=88%	
GSE17721_LPS_VS_GARDIQUIMOD_1H_BMDC_UP	GSE17721_LPS_VS_GARDIQUIMOD_1H_BMDC_UP		200	-0.42076552	-1.3524014	0.09872029	0.116379105	0.421	14610	tags=50%, list=34%, signal=76%	
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP	GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP		200	-0.41524437	-1.3523607	0.09255898	0.11637217	0.421	14566	tags=49%, list=34%, signal=74%	
GSE2770_IL12_VS_IL4_TREATED_ACT_CD4_TCELL_2H_UP	GSE2770_IL12_VS_IL4_TREATED_ACT_CD4_TCELL_2H_UP		147	-0.42627412	-1.3521724	0.092391305	0.11650904	0.421	12771	tags=43%, list=30%, signal=61%	
GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_DN	GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_DN		199	-0.42259726	-1.3520566	0.11371841	0.116574205	0.421	12146	tags=42%, list=29%, signal=59%	
GSE12963_ENV_NEF_VS_ENV_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_UP	GSE12963_ENV_NEF_VS_ENV_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_UP		134	-0.43535838	-1.3519934	0.11272727	0.11659828	0.421	9053	tags=35%, list=21%, signal=44%	
GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_DN	GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_DN		200	-0.42889932	-1.3519704	0.091240875	0.11657577	0.421	14870	tags=50%, list=35%, signal=77%	
GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY8_EFFECTOR_CD8_TCELL_DN	GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY8_EFFECTOR_CD8_TCELL_DN		200	-0.42360005	-1.3519536	0.114180475	0.11655196	0.421	16178	tags=54%, list=38%, signal=86%	
GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_DN	GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_DN		200	-0.4286731	-1.3519264	0.113970585	0.11652989	0.421	9333	tags=35%, list=22%, signal=45%	
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD8_TCELL_DN	GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD8_TCELL_DN		174	-0.4327007	-1.3518783	0.10018904	0.11652424	0.421	12687	tags=47%, list=30%, signal=67%	
GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_DN	GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_DN		200	-0.42467543	-1.3518556	0.12104283	0.11649577	0.421	13482	tags=48%, list=32%, signal=69%	
GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_DN	GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_DN		198	-0.40734044	-1.3518522	0.06620209	0.11645438	0.421	11396	tags=37%, list=27%, signal=50%	
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_4H_UP	GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_4H_UP		200	-0.42212722	-1.3516873	0.09778598	0.1165794	0.421	15760	tags=52%, list=37%, signal=82%	
GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH1_DN	GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH1_DN		199	-0.4142546	-1.3516428	0.07857143	0.1165763	0.421	10268	tags=35%, list=24%, signal=46%	
GSE43955_1H_VS_10H_ACT_CD4_TCELL_DN	GSE43955_1H_VS_10H_ACT_CD4_TCELL_DN		200	-0.42393288	-1.3515712	0.09139785	0.1166042	0.421	12800	tags=45%, list=30%, signal=63%	
GSE15330_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_PRO_BCELL_DN	GSE15330_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_PRO_BCELL_DN		200	-0.43124273	-1.3515693	0.12915128	0.11656068	0.421	15560	tags=58%, list=37%, signal=90%	
GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_DN	GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_DN		195	-0.41714194	-1.3515674	0.095914744	0.116517216	0.421	12055	tags=42%, list=28%, signal=58%	
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_0.5H_ACT_CD4_TCELL_DN	GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_0.5H_ACT_CD4_TCELL_DN		186	-0.41540787	-1.3515359	0.08289242	0.11650045	0.421	12541	tags=44%, list=30%, signal=62%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_DN	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_DN		198	-0.42292574	-1.3514903	0.09426987	0.11649914	0.421	12583	tags=44%, list=30%, signal=62%	
GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_DN	GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_DN		155	-0.44135666	-1.3514111	0.083809525	0.116534695	0.421	12086	tags=46%, list=29%, signal=65%	
GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_45MIN_DN	GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_45MIN_DN		199	-0.42365202	-1.3512872	0.09981851	0.11661572	0.421	12461	tags=42%, list=29%, signal=60%	
GSE40274_XBP1_VS_FOXP3_AND_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	GSE40274_XBP1_VS_FOXP3_AND_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN		198	-0.43414325	-1.3512594	0.111524165	0.11660189	0.421	13429	tags=46%, list=32%, signal=68%	
GSE22527_ANTI_CD3_INVIVO_VS_UNTREATED_MOUSE_TREG_DN	GSE22527_ANTI_CD3_INVIVO_VS_UNTREATED_MOUSE_TREG_DN		200	-0.4129156	-1.3512444	0.10035843	0.11657008	0.421	13576	tags=48%, list=32%, signal=70%	
GSE23505_IL6_IL1_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP	GSE23505_IL6_IL1_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP		200	-0.4203961	-1.3512354	0.09963768	0.116529725	0.421	7010	tags=28%, list=17%, signal=33%	
GSE25123_WT_VS_PPARG_KO_MACROPHAGE_ROSIGLITAZONE_STIM_DN	GSE25123_WT_VS_PPARG_KO_MACROPHAGE_ROSIGLITAZONE_STIM_DN		187	-0.41841257	-1.3512079	0.07908612	0.116513364	0.421	14237	tags=50%, list=34%, signal=75%	
GSE36527_CD62L_HIGH_VS_CD62L_LOW_TREG_CD69_NEG_KLRG1_NEG_DN	GSE36527_CD62L_HIGH_VS_CD62L_LOW_TREG_CD69_NEG_KLRG1_NEG_DN		199	-0.4279975	-1.351202	0.08608059	0.11647136	0.421	12310	tags=45%, list=29%, signal=63%	
GSE17721_CTRL_VS_POLYIC_12H_BMDC_UP	GSE17721_CTRL_VS_POLYIC_12H_BMDC_UP		200	-0.42128098	-1.3511846	0.10382514	0.1164405	0.421	14230	tags=46%, list=34%, signal=69%	
GSE7460_CTRL_VS_TGFB_TREATED_ACT_TREG_DN	GSE7460_CTRL_VS_TGFB_TREATED_ACT_TREG_DN		199	-0.429623	-1.3510551	0.11666667	0.11653211	0.421	18019	tags=63%, list=43%, signal=109%	
GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN	GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN		172	-0.43227923	-1.3510466	0.106571935	0.11649311	0.421	12565	tags=45%, list=30%, signal=63%	
GSE6566_STRONG_VS_WEAK_DC_STIMULATED_CD4_TCELL_UP	GSE6566_STRONG_VS_WEAK_DC_STIMULATED_CD4_TCELL_UP		192	-0.4219626	-1.35093	0.1005291	0.11657642	0.421	12947	tags=46%, list=31%, signal=66%	
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_UP	GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_UP		198	-0.42405894	-1.3508998	0.08199643	0.11655711	0.421	12495	tags=45%, list=29%, signal=64%	
GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_DN	GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_DN		198	-0.4185988	-1.3508486	0.08193669	0.116568156	0.421	12659	tags=44%, list=30%, signal=63%	
GSE34515_CD16_POS_MONOCYTE_VS_DC_DN	GSE34515_CD16_POS_MONOCYTE_VS_DC_DN		200	-0.42505383	-1.3508385	0.10885609	0.11653264	0.421	15653	tags=52%, list=37%, signal=81%	
GSE14350_IL2RB_KO_VS_WT_TREG_UP	GSE14350_IL2RB_KO_VS_WT_TREG_UP		199	-0.4263389	-1.3508104	0.10805861	0.11651549	0.421	12035	tags=41%, list=28%, signal=57%	
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN		199	-0.4287597	-1.3507711	0.111524165	0.11650948	0.421	14840	tags=52%, list=35%, signal=79%	
GSE24814_STAT5_KO_VS_WT_PRE_BCELL_DN	GSE24814_STAT5_KO_VS_WT_PRE_BCELL_DN		200	-0.42401874	-1.350766	0.10507246	0.11646806	0.421	13770	tags=48%, list=32%, signal=71%	
GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP	GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP		196	-0.42363846	-1.350745	0.067736186	0.11644499	0.421	14153	tags=47%, list=33%, signal=70%	
GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IL4_TREATED_MACROPHAGE_DN	GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IL4_TREATED_MACROPHAGE_DN		200	-0.4162041	-1.3507447	0.09154929	0.11639979	0.421	15760	tags=51%, list=37%, signal=80%	
GSE3337_CTRL_VS_4H_IFNG_IN_CD8POS_DC_DN	GSE3337_CTRL_VS_4H_IFNG_IN_CD8POS_DC_DN		200	-0.40893927	-1.3505763	0.07885305	0.116524994	0.421	13568	tags=45%, list=32%, signal=65%	
